Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
2016.04.18.b,18-Apr-2016,2016.0,FRENCH POLYNESIA,Fishing,M,22,N,Morning,"Grey reef shark, 2 m"
2016.04.18.a,18-Apr-2016,2016.0,FRENCH POLYNESIA,Fishing,M,26,N,Morning,"Grey reef shark, 2 m"
2016.04.13,13-Apr-2016,2016.0,USA,Fishing,M,26,N,,"Bull shark, 7'"
2016.04.09,09-Apr-2016,2016.0,NEW CALEDONIA,Walking,F,69,Y,10h45,"Tiger shark, 2.5 m"
2016.04.08,08-Apr-2016,2016.0,CAPE VERDE,,M,60,,,Shark involvement not confirmed
2016.04.07.b,07-Apr-2016,2016.0,USA,Fishing,M,34,N,,5' to 6' shark
2016.04.07.a,07-Apr-2016,2016.0,USA,SUP,M,,,,
2016.03.31,31-Mar-2016,2016.0,USA,Diving,F,46,N,11h00,
2016.03.30,30-Mar-2016,2016.0,AUSTRALIA,Surfing,M,22,N,19h00,
2016.03.28.b,28-Mar-2016,2016.0,USA,,M,Teen,,,Shark involvement not confirmed
2016.03.28.a,28-Mar-2016,2016.0,AUSTRALIA,Surfing,M,41,N,11h00,
2016.03.26,26-Mar-2016,2016.0,BAHAMAS,,M,9,N,,"Nurse shark, 2.5-ft"
2016.03.13,13-Mar-2016,2016.0,USA,Surfing,,,,Morning,Shark involvement not confirmed
2016.03.11,11-Mar-2016,2016.0,USA,Surfing,M,19,N,13h30,
2016.03.10,10-Mar-2016,2016.0,Fiji,Diving,M,45,Y,Afternoon,
2016.03.04,04-Mar-2016,2016.0,USA,,M,12,N,Afternoon,
2016.03.03.R,Reported 03-Mar-2016,2016.0,AUSTRALIA,Fishing,M,,N,Midnight,Bronze whaler
2016.03.02,02-Mar-2016,2016.0,BRAZIL,Swimming,M,41,N,,Sandtiger shark
2016.02.22,22-Feb-2016,2016.0,NEW CALEDONIA,Surfing,M,21,N,19h00,
2016.02.19, 19-Feb-2016,2016.0,NEW CALEDONIA,Fishing,M,31,N,16h00,
2016.02.12,12-Feb-2016,2016.0,DOMINICAN REPUBLIC,Wading,F,,N,15h00,
2016.02.10.R,Reported 10-Feb-2016,2016.0,CAYMAN ISLANDS,Feeding stingrays?,M,65,,,No shark involvement
2016.02.10,10-Feb-2016,2016.0,AUSTRALIA,Surfing,M,,,12h30,No shark involvement
2016.02.05,05-Feb-2016,2016.0,AUSTRALIA,Walking,F,45,N,13h20,
2016.02.04,04-Feb-2016,2016.0,AUSTRALIA,Surfing,M,40,N,Late afternoon,
2016.02.02,02-Feb-2016,2016.0,BRAZIL,Swimming,M,41,N,,Sandtiger shark
2016.01.29,29-Jan-2016,2016.0,SOUTH AFRICA,Fishing,M,,N,,
2016.01.28,28-Jan-2016,2016.0,USA,Surfing,M,,N,14h00,"Reef shark, 5'"
2016.01.25,25-Jan-2016,2016.0,USA,Surfing,F,15,N,11h30,
2016.01.24.b,24-Jan-2016,2016.0,USA,Fishing,M,,N,09h30 / 10h00,Bull sharks x 2
2016.01.24.a,24-Jan-2016,2016.0,UNITED ARAB EMIRATES,Fishing,M,,N,,Mako shark
2016.01.23,23-Jan-2016,2016.0,USA,Paddle boarding,M,48,N,Morning,"Tiger shark, 14'"
2016.01.11.R,Reported 11-Jan-2016,2016.0,AUSTRALIA,Surfing,M,,N,,Wobbegong shark
2016.01.05,05-Jan-2016,2016.0,AUSTRALIA,Wading,M,11,N,Afternoon,Blacktip shark
2016.01.02,02-Jan-2016,2016.0,AUSTRALIA,Fishing,M,31,N,11h30,3 m shark
2015.12.26,26-Dec-2015,2015.0,SOUTH AFRICA,Fishing,M,,N,Morning,"White shark, 3 m"
2015.12.25,25-Dec-2015,2015.0,SPAIN,Swimming,F,38,N,,"Silky shark, 6.5'"
2015.12.22,22-Dec-2015,2015.0,USA,Paddle boarding,M,71,N,Morning,9' shark
2015.12.21.b,21-Dec-2015,2015.0,AUSTRALIA,Surfing,M,43,N,07h00,"Bronze whaler shark, 6'"
2015.12.21.a,21-Dec-2015,2015.0,BRAZIL,Diving,M,32,N,,"Tiger shark, 1.5 m "
2015.12.19,19-Dec-2015,2015.0,ARUBA,Sea disaster,M,58,Y,,
2015.12.13,13-Dec-2015,2015.0,AUSTRALIA,Fishing,,,N,10h30,"White shark, 3.5 m"
2015.12.11,11-Dec-2015,2015.0,BAHAMAS,Fishing,M,26,N,,Bull shark
2015.12.08,08-Dec-2015,2015.0,SOUTH AFRICA,Swimming,F,22,N,Morning,
2015.11.20,20-Nov-2015,2015.0,ECUADOR,Diving,M,55,N,10h15,Galapagos shark
2015.11.16,16-Nov-2015,2015.0,USA,Surfing,M,,N,Afternoon,
2015.11.15.b,15-Nov-2015,2015.0,USA,Swimming,F,,N,11h00,
2015.11.15.a,15-Nov-2015,2015.0,USA,Surfing,M,28,N,,"Spinner shark, 7'"
2015.11.10,10-Nov-2015,2015.0,AUSTRALIA,Surfing,M,20,N,18h15,"Bull shark, 2.8 to 3.1 m"
2015.12.23,07-Nov-2015,2015.0,USA,Surfing,F,9,,11h00,Shark involvement not confirmed
2015.11.03,03-Nov-2015,2015.0,USA,Swimming,M,54,N,11h00,
2015.11.01.b,01-Nov-2015,2015.0,USA,Wading,F,28,N,14h00,3' to 5' shark
2015.11.01.a,01-Nov-2015,2015.0,MOZAMBIQUE,Fishing,M,19,N,04h00,
2015.10.30,30-Oct-2015,2015.0,AUSTRALIA,Fishing,M,50,N,,
2015.10.28.a,28-Oct-2015,2015.0,USA,Body boarding,M,10,N,14h50,
2015.10.25,25-Oct-2015,2015.0,SOUTH AFRICA,Surfing,M,42,N,15h00,"White shark, 3 to 3.5m "
2015.10.21,21-Oct-2015,2015.0,USA,Surfing,M,21,N,14h30,5' shark
2015.10.19,19-Oct-2015,2015.0,USA,Surfing,M,21,N,13h50,"Spinner shark, 5'"
2015.10.17.c,17-Oct-2015,2015.0,MOZAMBIQUE,Fishing,F,35,Y,,
2015.10.17.b,17-Oct-2015,2015.0,USA,Surfing,M,32,,19h20,No shark involvement
2015.10.17.a,17-Oct-2015,2015.0,USA,Swimming,M,44,N,11h30,"Tiger shark, 7'"
2015.10.13,13-Oct-2015,2015.0,USA,Fishing,M,,N,11h00,Hammerhead sp.
2015.10.09.b,09-Oct-2015,2015.0,USA,Boogie boarding,F,9,N,16h20,
2015.10.09.a,09-Oct-2015,2015.0,USA,Surfing,M,25,N,10h25,"Tiger shark, 13' "
2015.10.08,08-Oct-2015,2015.0,MOZAMBIQUE,Fishing,M,,N,,
2015.10.07,07-Oct-2015,2015.0,AUSTRALIA,Surfing,M,18,N,16h50,
2015.10.05.b,05-Oct-2015,2015.0,USA,Body boarding,M,22,N,13h00,
2015.10.05.a,05-Oct-2015,2015.0,USA,Wading,M,13,N,10h00,4' to 5' shark
2015.10.04,04-Oct-2015,2015.0,USA,Surfing,M,14,N,08h30,"Blacktip shark, 4' to 5'"
2015.09.29,29-Sep-2015,2015.0,USA,Surfing,M,22,N,16h20,"Blacktip shark, 5' to 6'"
2015.09.26,26-Sep-2015,2015.0,AUSTRALIA,Diving,F,7,N,Afternoon,
2015.09.24,24-Sep-2015,2015.0,USA,Fishing,M,,N,10h45-11h15,"White shark, 19'"
2015.09.20.d,20-Sep-2015,2015.0,USA,Surfing,M,14,N,16h45,juvenile shark
2015.09.20.c,20-Sep-2015,2015.0,USA,Fishing,M,27,N,15h52,"Tiger shark, 13'"
2015.09.20.b,20-Sep-2015,2015.0,USA,Wading,M,12,N,12h30,4' shark
2015.09.20.a,20-Sep-2015,2015.0,USA,Fishing,M,16,N,07h30,
2015.09.19,19-Sep-2015,2015.0,USA,Fishing,M,,N,,Hammerhead shark
2015.09.18,18-Sep-2015,2015.0,USA,Swimming,M,,N,19h00,
2015.09.17,17-Sep-2015,2015.0,USA,Surfing,M,20,N,15h00,
2015.09.08,08-Sep-2015,2015.0,AUSTRALIA,Surfing,M,42,N,06h15,6' shark
2015.09.06,06-Sep-2015,2015.0,USA,Standing,F,50,N,17h30,"White shark, 11' to 12'"
2015.09.05,05-Sep-2015,2015.0,USA,Fishing,M,29,N,14h40,Hammerhead shark.
2015.09.04,04-Sep-2015,2015.0,AUSTRALIA,Surfing,M,62,N,11h30,"White shark, 2.5 m"
2015.09.03,03-Sep-2015,2015.0,USA,,M,,N,16h00,4' shark?
2015.09.01,01-Sep-2015,2015.0,THAILAND,Wading,F,37,N,08h30,small shark
2015.09.00,Sep-2015,2015.0,FIJI,Fishing,M,,N,,Tiger shark
2015.08.29.b,29-Aug-2015,2015.0,USA,Surfing,F,54,N,10h25,"White shark, 11' to 12'"
2015.08.29.a,29-Aug-2015,2015.0,USA,Surfing,M,21,N,10h00,"White shark, 10' to 12' "
2015.08.22.b,22-Aug-2015,2015.0,USA,,M,,,19h45,Shark involvement not confirmed
2015.08.22.a,22-Aug-2015,2015.0,AUSTRALIA,Surfing,M,38,N,17h10,
2015.08.20,20-Aug-2015,2015.0,USA,Surfing,M,15,N,12h30,4' shark
2015.08.19,19-Aug-2015,2015.0,USA,Walking,F,10,N,15h30,3' shark
2015.08.18.b,18-Aug-2015,2015.0,USA,Fishing,M,22,N,07h30,"White shark, 13'"
2015.08.18.a,18-Aug-2015,2015.0,SPAIN,Swimming,M,10,,11h00,Shark involvement not confirmed
2015.08.10,10-Aug-2015,2015.0,USA,Fishing,M,57,N,08h00,Hammerhead shark. 6' to 7'
2015.07.31,31-Jul-2015,2015.0,AUSTRALIA,Surfing,M,52,N,06h00,White shark
2015.07.28,28-Jul-2015,2015.0,COSTA RICA,Surfing,M,47,N,,
2015.07.27,27-Jul-2015,2015.0,AUSTRALIA,Surfing,M,40,,,
2015.07.26.b,26-Jul-2015,2015.0,USA,Surfing,M,25,N,19h00,"Blacktip or spinner shark, 4'"
2015.07.26.a,26-Jul-2015,2015.0,USA,Floating,F,35,,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
2015.07.25,25-Jul-2015,2015.0,AUSTRALIA,Diving,M,46,Y,10h00,"White shark, 3.9 to 4.2 m"
2015.07.23.b,23-Jul-2015,2015.0,USA,Fishing,M,31,N,,"Mako shark, 100-lb"
2015.07.23.a,23-Jul-2015,2015.0,AUSTRALIA,Surfing,M,40,N,,"Bronze whaler shark, 1.5m"
2015.07.22,22-Jul-2015,2015.0,REUNION,Surfing,M,45,N,,"Bull shark, 2m"
2015.07.19,19-Jul-2015,2015.0,SOUTH AFRICA,Surfing,M,34,N,,White shark
2015.07-10,10-Jul-2015,2015.0,USA,Surfing,M,38,N,08h45,"White shark, 7'"
2015.07.08,08-Jul-2015,2015.0,USA,Treading water,M,39,,,Shark involvement not cofirmed
2015.07.06,06-Jul-2015,2015.0,FRENCH POLYNESIA,Swimming,M,,,,No shark involvement
2015.07.04.b,04-Jul-2015,2015.0,BAHAMAS,Fishing,F,23,N,,6' shark
2015.07.04.a,04-Jul-2015,2015.0,USA,,M,32,N,Evening,
2015.07.03,03-Jul-2015,2015.0,AUSTRALIA,Surfing,M,52,N,09h00,White shark
2015.07.02,02-Jul-2015,2015.0,AUSTRALIA,Body boarding ,M,32,N,09h00,White shark
2015.07.01,01-Jul-2015,2015.0,USA,Swimming,M,68,N,12h10,6' to 7' shark
2015.06.30.b,30-Jun-2015,2015.0,AUSTRALIA,Surfing,M,,N,,
2015.06.30.a,30-Jun-2015,2015.0,USA,Playing in the water,M,12,N,18h05,4' to 5' shark
2015.06.27.b,27-Jun-2015,2015.0,USA,Swimming,M,18,N,16h00,Bull shark
2015.06.27.a,27-Jun-2015,2015.0,SOUTH AFRICA,Body Boarding,M,19,N,14h40,White shark
2015.06.26.c,26-Jun-2015,2015.0,USA,Swimming,F,,,19h30,Shark involvement not confirmed
2015.06.26.b,26-Jun-2015,2015.0,SOUTH AFRICA,Surfing,M,23,N,16h00,"White shark, 2m to 3 m"
2015.06.26.a,26-Jun-2015,2015.0,USA,Standing,M,43,N,11h00,4' shark
2015.06.25.R,Reported 25-Jun-2015,2015.0,AUSTRALIA,Swimming,M,19,N,,Wobbegong shark
2015.06.25,25-Jun-2015,2015.0,USA,Surfing,M,47,N,11h41,
2015.06.24.b,24-Jun-2015,2015.0,USA,Swimming,M,6,N,12h25,Sandtiger shark
2015.06.24.a,24-Jun-2015,2015.0,AUSTRALIA,Surfing,F,37,N,09h30,White shark
2015.06.23,23-Jun-2015,2015.0,USA,Standing,M,9,N,,small shark
2015.06.19,19-Jun-2015,2015.0,PUERTO RICO,Fishing,M,36,N,Morning,
2015.06.17,17-Jun-2015,2015.0,USA,Swimming,M,10,N,13h00,
2015.06.14.b,14-Jun-2015,2015.0,USA,Wading,M,16,N,17h51,Bull shark
2015.06.14.a,14-Jun-2015,2015.0,USA,Wading,F,12,N,16h12,Bull shark
2015.06.13,13-Jun-2015,2015.0,USA,,F,,N,,Mako shark
2015.06.11,11-Jun-2015,2015.0,USA,Boogie boarding,F,13,N,12h45,4' shark
2015.06.07,07-Jun-2015,2015.0,USA,Playing,M,11,N,10h50,"Bull shark, 5'"
2015.06.05,05-Jun-2015,2015.0,USA,Attempting to rescue a shark,F,17,N,,small nurse shark
2015.06.01,01-Jun-2015,2015.0,REUNION,Surfing,M,47,N,15h00,"Bull shark, 2.5 m"
2015.05.29.b,29-May-2015,2015.0,USA,Standing,F,14,N,15h00,
2015.05.29.a,29-May-2015,2015.0,USA,Wading,F,19,N,13h45,
2015.05.25,25-May-2015,2015.0,FRENCH POLYNESIA,Fishing,M,19,N,08h00,1m to 1.2 m shark
2015.05.24,24-May-2015,2015.0,USA,Swimming,F,13,N,,
2015.05.20,20-May2015,2015.0,USA,Surfing,M,18,N,10h30,5' shark
2015.05.15,15-May-2015,2015.0,USA,,M,30,N,14h15,6' shark
2015.05.09,09-May-2015,2015.0,NEW CALEDONIA,Diving,M,50,Y,,"Bull shark, 3.5 m"
2015.05.07,07-May-2015,2015.0,USA,Swimming,M,,N,15h00,
2015.05.03,03-May-2015,2015.0,AUSTRALIA,Surfing,M,,N,15h00,White shark
2015.05.02,02-May-2015,2015.0,SOUTH AFRICA,Diving,M,29,N,13h00,"White shark, 3.5 m"
2015.04.29,29-Apr-2015,2015.0,USA,Diving,F,65,Y,09h00,
2015.04.26,26-Apr-2015,2015.0,USA,Wading,M,63,N,16h30,3- to 4-foot shark
2015.04.25,25-Apr-2015,2015.0,AUSTRALIA,Surfing,M,26,N,09h45,"White shark, 6 m"
2015.04.24.c,24-Jun-2015,2015.0,AUSTRALIA,Surfing,M,71,N,11h00,"White shark, 3 m"
2015.04.13,13-Apr-2015,2015.0,USA,Photographing the shark,M,48,N,,"Blue shark, 8 to 9 feet"
2015.04.12,12-Apr-2015,2015.0,REUNION,Surfing,M,13,Y,09h00,Bull shark
2015.04.11,11-Apr-2015,2015.0,AUSTRALIA,Paddle boarding,M,,N,07h30,
2015.04.03,03-Apr-2015,2015.0,USA,Fishing,M,70,N,Afternoon,Bull shark
2015.03.29,29-Mar-2015,2015.0,ITALY,Diving,M,43,,,Shark involvement not cofirmed
2015.03.31,31-Mar-2015,2015.0,BRAZIL,Surfing,M,23,,11h00,No shark involvement
2015.03.26,26-Mar-2015,2015.0,SOUTH AFRICA,Fishing,M,36,N,,"White shark, 4 m"
2015.03.21,21-Mar-2015,2015.0,EGYPT,Swimming,M,52,Y,,Mako shark
2015.03.18,18-Mar-2015,2015.0,USA,Diving,M,58,N,11h45,"Tiger shark, 8 to 12 feet"
2015.03.16,16-Mar-2015,2015.0,FRENCH POLYNESIA,Hand feeding sharks,M,9,N,10h00,Blacktip shark
2015.03.11,11-Mar-2015,2015.0,AUSTRALIA,Fishing,M,,N,Morning,
2015.03.10,10-Mar-2015,2015.0,MEXICO,Fishing,M,36,N,10h20,
2015.03.07,07-Mar-2015,2015.0,FRENCH POLYNESIA,Sitting in the water,M,0,N,,Blacktip Reef shark 
2015.02.15,15-Feb-2015,2015.0,ATLANTIC OCEAN,Transatlantic Rowing,,,N,,White shark
2015.02.14,14-Feb-2015,2015.0,REUNION,Swimming,F,22,Y,18h30,"Tiger shark, 3.5 m"
2015.02.09,09-Feb-2015,2015.0,AUSTRALIA,Surfing,M,41,Y,10h00,3.5 to 4 m shark
2015.02.08,08-Feb-2015,2015.0,AUSTRALIA,Surfing,M,35,N,06h45,2 m to  3 m shark
2015.02.05,05-Feb-2015,2015.0,AUSTRALIA,Surfing,M,,N,,1.8 m shark
2015.01.30,30-Jan-2015,2015.0,AUSTRALIA,Rowing,M,57,N,05h00,"Bull shark, 1.3 m"
2015.01.27,27-Jan-2015,2015.0,USA,Fishing,M,20,N,03h30,4' shark
2015.01.24,24-Jan-2015,2015.0,AUSTRALIA,Surfing,M,,N,,
2015.01.23,23-Jan-2015,2015.0,SOUTH AFRICA,Floating,M,24,N,Afternoon,
2015.01.19.b,19-Jan-2015,2015.0,USA,Fishing,M,,N,,White shark
2015.01.19.a,19-Jan-2015,2015.0,AUSTRALIA,Surfing,F,,,,Shark involvement not confirmed
2015.01.17,17-Jan-2015,2015.0,AUSTRALIA,Fishing,M,,N,13h45,5 m shark
2015.01.16,16-Jan-2015,2015.0,AUSTRALIA,Filming,M,17,N,,1.5 m shark
2015.01.08,08-Jan-2015,2015.0,USA,Swimming,M,38,,Night,No shark involvement
2015.01.06,06-Jan-2015,2015.0,BAHAMAS,Diving,F,34,N,16h00,White shark or oceanic whitetip shark
2015.01.03,03-Jan-2015,2015.0,SOUTH AFRICA,Surfing,M,15,N,08h00,"Raggedtooth shark, 1.3 m"
2015.01.01,01-Jan-2015,2015.0,USA,,M,12,N,Afternoon,"""A small shark"""
2014.12.29.b,29-Dec-2014,2014.0,AUSTRALIA,Surfing,,,N,Morning,2 m shark
2014.12.29.a,29-Dec-2014,2014.0,AUSTRALIA,Fishing,M,17,Y,Morning,"White shark, 4 to 5 m"
2014.12.28.d,28-Dec-2014,2014.0,GREECE,,,,N,,Shark involvement prior to death still to be determined
2014.12.28.c,28-Dec-2014,2014.0,SOUTH AFRICA,Swimming,,,,Morning,Shark involvement not confirmed & highly unlikely
2014.12.28.b,28-Dec-2014,2014.0,USA,Surfing,M,50,N,11h30,"White shark, 8' to 10'"
2014.12.28.a,28-Dec-2014,2014.0,AUSTRALIA,Fishing,M,40s,N,Morning,1.5 m shark
2014.12.23.R,Reported 23-Dec-2014,2014.0,JAPAN,Diving,M,,N,,Goblin shark
2014.12.15,15-Dec-2014,2014.0,AUSTRALIA,Fishing,M,17,Y,11h30,Tiger shark
2014.12.03.R,Reported 03-Dec-2014,2014.0,SPAIN,Fishing,M,,N,07h00,
2014.11.29,29-Nov-2014,2014.0,AUSTRALIA,Surfing,M,13,N,Sometime between 06h00 & 08hoo,
2014.11.20,20-Nov-2014,2014.0,MAURITIUS,Fishing,M,39,Y,,
2014.11.19,19-Nov-2014,2014.0,AUSTRALIA,Fishing,M,,N,,White shark
2014.11.17,Reported 17-Nov-2014,2014.0,USA,,,,N,,White shark
2014.11.16,16-Nov-2014,2014.0,USA,Surfing,M,44,N,13h00,2' shark
2014.11.13,13-Nov-2014,2014.0,USA,Diving,M,53,N,13h30,1.5 m shark
2014.11.10,10-Nov-2014,2014.0,AUSTRALIA,Surfing,M,,N,06h30,
2014.11.08,08-Nov-2014,2014.0,USA,Surfing,M,18,N,16h30,
2014.10.31,31-Oct-2014,2014.0,USA,Surfing,F,34,N,11h00,"Tiger shark, 12'"
2014.10.30,29-Oct-2014,2014.0,AUSTRALIA,Surfing,M,20,N,18h00,
2014.10.22,22-Oct-2014,2014.0,USA,Standing,F,,N,10h00,Tiger shark
2014.10.20,20-Oct-2014,2014.0,USA,Standing,M,,N,08h00,
2014.10.19,19-Oct-2014,2014.0,USA,Canoeing,F,,N,,
2014.10.18,18-Oct-2014,2014.0,USA,Surfing,M,,N,11h15,12' to 14' shark
2014.10.17,17-Oct-2014,2014.0,AUSTRALIA,Surfing,F,13,N,06h30,1 m shark
2014.10.14,14-Oct-2014,2014.0,USA,Standing,F,7,N,,"Bull shark, 3' to 4'"
2014.10.12,12-Oct-2014,2014.0,USA,Surfing,F,,N,15h30,
2014.10.11,11-Oct-2014,2014.0,AUSTRALIA,Kayaking,M,,N,17h20,
2014.10.05.b,05-Oct-2014,2014.0,USA,Surfing,M,29,N,11h30,Blacktip shark
2014.10.07,07-Oct-2014,2014.0,USA,Fishing,F,40,N,Afternoon,
2014.10.05.a,05-Oct-2014,2014.0,USA,Surfing,M,15,N,11h00,Blacktip shark
2014.10.03.b,03-Oct-2014,2014.0,USA,Kayaking,M,,N,14h00,"White shark, 18' to 20'"
2014.10.03.a,03-Oct-2014,2014.0,USA,Kayaking ,M,,N,11h30,White shark
2014.10.02.b,02-Oct-2014,2014.0,USA,Surfing,M,28,N,17h30,8' to 10' shark
2014.10.02.a,02-Oct-2014,2014.0,AUSTRALIA,Surfing,M,23,N,11h00,"2 white shark: 13' & 9""8"""
2014.09.21,21-Sep-2014,2014.0,USA,Surfing,M,,N,11h30,
2014.09.13.R,Reported 12-Sep-2014,2014.0,FRENCH POLYNESIA,Fishing,F,36,N,,Blacktip shark
2014.09.13,13-Sep-2014,2014.0,USA,Surfing,M,,,18h45,No shark involvement
2014.09.09,09-Sep-2014,2014.0,AUSTRALIA,Swimming,M,50,Y,10h45,7' shark
2014.09.06,06-Sep-2014,2014.0,USA,Fishing,M,43,N,13h00,Bull shark
2014.09.03,03-Sep-2014,2014.0,USA,Kayaking ,F,20s,N,18h00,"White shark, 12' to 14'"
2014.09.02,02-Sep-2014,2014.0,USA,Fishing,M,52,N,20h00,3' to 4' shark
2014.09.00,Sep-2014,2014.0,SPAIN,Playing with an air mattress,M,16,N,,
2014.08.31,31-Aug-2014,2014.0,USA,Surfing,F,13,N,16h40,Spinner shark
2014.08.29.b,29-Aug-2014,2014.0,USA,Surfing,M,17,N,,Spinner shark or blacktip shark
2014.08.29.a,29-Aug-2014,2014.0,USA,,,,,16h18,Shark involvement not confirmed
2014.08.28,28-Aug-2014,2014.0,USA,Fishing,M,33,N,,
2014.08.27.c,27-Aug-2014,2014.0,SPAIN,Swimming,F,30s,N,,small shark
2014.08.27.b,27-Aug-2014,2014.0,USA,Surfing,M,29,N,,4' to 6' shark
2014.08.27.a,27-Aug-2014,2014.0,USA,Standing,F,,N,15h00,
2014.08.25,Reported 25-Aug-2014,2014.0,USA,Fishing,M,,N,,"Bull shark, 4.5' "
2014.08.24,24-Aug-2014,2014.0,USA,Kite boarding,,,N,,4' shark
2014.08.16,16-Aug-2014,2014.0,AUSTRALIA,Fishing,M,31,N,,reef shark
2014.08.12,12-Aug-2014,2014.0,USA,Standing,M,,N,11h10," Bull shark, 8'"
2014.08.10,10-Aug-2014,2014.0,USA,,M,26,N,,
2014.08.09.R,09-Aug-2014,2014.0,BAHAMAS,Fishing,M,,N,,"Bull shark, 9' to 10'"
2014.08.09,09-Aug-2014,2014.0,USA,Swimming,F,10,N,13h30,
2014.08.08,08-Aug-2014,2014.0,USA,Swimming,M,7,N,Afternoon," Bull shark, 5'"
2014.08.06,06-Aug-2014,2014.0,USA,Boogie boarding,M,10,N,14h00,4' tp 5' shark
2014.08.05,05-Aug-2014,2014.0,USA,Swimming,F,45,N,,
2014.08.02,02-Aug-2014,2014.0,USA,Surfing,M,50s,N,,
2014.08.02,02-Aug-2014,2014.0,USA,Boogie boarding,M,8,N,13h00,
2014.08.01,01-Aug-2014,2014.0,SOUTH AFRICA,Surfing,M,20,N,14h00,White shark
2014.08.00,Aug-2014,2014.0,,Sea disaster,M,,,,Shark involvement not confirmed
2014.07.27,27-Jul-2014,2014.0,USA,Swimming,M,Teen,N,,Possibly juvenile tiger shark
2014.07.22,22-Jul-2014,2014.0,REUNION,Surfing,M,51,N,15h00,1.8 metre shark
2014.07.21,21-Jul-2014,2014.0,USA,Standing,M,8,N,Early afternoon,
2014.07.20,20-Jul-2014,2014.0,SPAIN,Wading,,,N,,Angel shark
2014.07.16,16-Jul-2014,2014.0,USA,Swimming,M,61,N,17h50,6' to 8' shark
2014.07.14,14-Jul-2014,2014.0,USA,Swimming,M,39,N,14h30,4' shark
2014.07.13,13-Jul-2014,2014.0,BAHAMAS,Diving,M,63,,Night,Shark involvement not confirmed
2014.07.12,12-Jul-2014,2014.0,USA,Surfing,M,,N,,
2014.07.09,9-Jul-2014,2014.0,USA,Surfing,M,14,N,14h00,
2014.07.05.b,5-Jul-2014,2014.0,USA,Swimming,M,,N,09h30," White shark, 7' "
2014.07.05.a,5-Jul-2014,2014.0,USA,Surfing,M,,N,07h00 - 08h00,
2014.07.03,3-Jul-2014,2014.0,USA,Surfing,M,19,N,18h15-18h30,4' to 5' shark
2014.06.27.R,Reported 27-Jun-2014,2014.0,ST. MARTIN,Transatlantic Rowing,M,48,N,,Oceanic whitetip shark'
2014.06.25,25-Jun-2014,2014.0,BAHAMAS,Fishing,M,42,N,13h00,"Caribbean reef shark, 7' to 8'"
2014.06.18.b,18-Jun-2014,2014.0,AUSTRALIA,Surfing,M,,N,17h01,
2014.06.18.a,18-Jun-2014,2014.0,AUSTRALIA,Body boarding,M,15,N,17h00,
2014.06.17.R,Reported 17-Jun-2014,2014.0,AUSTRALIA,Petting a shark,M,,N,," Lemon shark, 3.5 m"
2014.06.09.c,09-Jun-2014,2014.0,BRAZIL,Fishing,M,43,N,,
2014.06.09.b,09-Jun-2014,2014.0,USA,Standing,M,16,N,17h00," Sandbar shark, 3' to 4'"
2014.06.09.a,09-Jun-2014,2014.0,AUSTRALIA,Body boarding,M,39,N,09h45,"Bronze whaler shark, 1.5m"
2014.06.08,08-Jun-2014,2014.0,JAPAN,Surfing,M,43,N,Afternoon,
2014.06.07,07-Jun-2014,2014.0,USA,Kneeling in the water,F,14,N,Afternoon,
2014.06.01.c,01-Jun-2014,2014.0,USA,Swimming,F,22,N,13h30,Bull shark
2014.06.01.b,01-Jun-2014,2014.0,AUSTRALIA,Surfing,M,,N,Morning,
2014.06.01.a,01-Jun-2014,2014.0,USA,Tagging sharks,F,37,N,,Blacktip Reef shark 
2014.05.27.R,24-May-2014,2014.0,AUSTRALIA,Fell into the water,F,29,N,," Bull shark, 1.2m "
2014.05.23,23-May-2014,2014.0,FRANCE,Diving,M,,N,Morning,3m shark
2014.05.22,22-May-2014,2014.0,AUSTRALIA,Teasing a shark,M,10,N,," Tawney nurse shark, 1m"
2014.05.15,15-May-2014,2014.0,USA,Body boarding,F,38,N,11h30,
2014.05.14,14-May-2014,2014.0,AUSTRALIA,Surfing,M,35,N,09h30," white shark, 15' "
2014.05.13,13-May2014,2014.0,USA,Wading,F,44,N,11h00,
2014.05.11,11-May-2014,2014.0,USA,Surfing,M,12,N,,Shark involvement not confirmed
2014.05.10.R,Reported 10-May-2014,2014.0,USA,Diving,M,,,,No shark involvement
2014.05.06,06-May-2014,2014.0,USA,Swimming,F,40,N,15h00,4' to 5' shark
2014.05.04,04-May-2014,2014.0,SOUTH AFRICA,Diving,,,N,,Cow shark
2014.05.01,01-May-2014,2014.0,USA,Surfing,M,23,N,15h00,3' shark
2014.04.24,24-Apr-2014,2014.0,AUSTRALIA,Fishing,M,,N,,reef shark?
2014.04.22,22-Apr-2014,2014.0,USA,Swimming,M,42,N,15h30,
2014.04.15,15-Apr-2014,2014.0,USA,Wading,M,25,N,09h57,
2014.04.12.R,Reported 12-Apr-2014,2014.0,SOUTH AFRICA,Shark watching,,,N,,White shark
2014.04.12,12-Apr-2014,2014.0,SOUTH AFRICA,Fishing,M,,N,Morning," Raggedtooth shark, 2m"
2014.04.04.b,04-Apr-2014,2014.0,USA,Surfing,M,teen,N,13h50,
2014.04.04.a,04-Apr-2014,2014.0,USA,Surfing,M,teen,N,13h30,
